,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
297,1896139040786887088,Sun Mar 02 12:06:28 +0000 2025,0,@SBYudhoyono Aset negara dijadiin milik segelintir pengelola yg bebas mengelola tanpa kontrol aturan ketat negara. Ingat pasal Danantara bukan BADAN NEGARA. Jadi BUMN dikumpulin asetnya buat diprivatisasi. Kalo default kayak waskita bisa diambil swasta. Di mana kebaikannya ???,1896170239060267247,,SBYudhoyono,in,unpredicted,0,0,0,https://x.com/da_tator_id/status/1896170239060267247,1006487451135762433,da_tator_id
298,1895491180135383356,Sun Mar 02 12:04:45 +0000 2025,0,@LukmanLan @sekarlangit585 @Marchfoward Danantara itu ladang korupsi baru.. bisa2nya gabungin BUMN strategis.,1896169807273427414,,LukmanLan,in,,0,0,0,https://x.com/Yuseokk4ng/status/1896169807273427414,1882358628101091328,Yuseokk4ng
299,1896168339195695307,Sun Mar 02 12:03:42 +0000 2025,0,@prabowo @jokowi @akbarfaizal68 @SBYudhoyono @Dennysiregar7 @NataliusPigai2 Bukan dana pihak ke tiga di bank2 BUMN yg digunakan sebagai modal atau aset Danantara hanya deviden aset bank dan fasilitas kredit dari dana pihak ke tiga.. Kalau Danantara rugi ya ikut rugi juga,1896169541119688866,,bumnbersatu,in,KPK,0,0,0,https://x.com/bumnbersatu/status/1896169541119688866,191951600,bumnbersatu
300,1896139040786887088,Sun Mar 02 12:03:15 +0000 2025,1,@SBYudhoyono Dana super besar tetapi dikelola secara amatir alias dengan rangkap jabatan oleh menteri dan wamen BUMN di Danantara. Jadi masyarakat sanksi apalagi presiden sepeeti ibu2 bawa sepeda motor belok ke kiri tetapi lampu sennya ke kanan.,1896169427156246656,,SBYudhoyono,in,,0,0,0,https://x.com/RafdianalRusli/status/1896169427156246656,1566324161584431104,RafdianalRusli
301,1896139040786887088,Sun Mar 02 12:02:30 +0000 2025,0,@SBYudhoyono danantara = bumn tapi lebih besar dan tanpa tanggung jawab hukum yang pasti,1896169240589463751,,SBYudhoyono,in,South Blue,0,0,0,https://x.com/shoegazeyy/status/1896169240589463751,1235451809801494528,shoegazeyy
302,1896139040786887088,Sun Mar 02 11:58:35 +0000 2025,0,@SBYudhoyono Bayangkan ini semua merugi akibat tikus bersarang dalam BUMN. Bayangin aja Pak @SBYudhoyono kini BUMN menjadi sarang tikus melenceng dari tujuan awalnya. Seharusnya BUMN sebagai penopang perekonomian nasional kini malah memelihara tikus. Bagaimana dgn Danantara? https://t.co/lq1Zs02AgQ,1896168255435530685,https://pbs.twimg.com/media/GlCK-ZgbUAEyBF2.jpg,SBYudhoyono,in,Jakarta Capital Region,0,0,0,https://x.com/iccank242424/status/1896168255435530685,1705727250883321856,iccank242424
303,1896139040786887088,Sun Mar 02 11:54:25 +0000 2025,0,@SBYudhoyono saya merasakan kesedihan yang lebih mendalam jika tata kelolanya sebagaimana yang tertuang dalam perpres semua BUMN yang selama ini penyumbang APBN melalui deviden dengan Danantara tidak ada lagi deviden yang masuk lagi ke APBN,1896167203776635388,,SBYudhoyono,in,"Jakarta Timur, DKI Jakarta",0,0,0,https://x.com/TriwidodoAries/status/1896167203776635388,1002536628223537158,TriwidodoAries
304,1896166245256618482,Sun Mar 02 11:50:36 +0000 2025,0,Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir mengumumkan bahwa 47 aset BUMN akan dikelola secara terpusat di bawah Badan Pengelola Investasi (BPI) atau Danantara. Saat ini baru 7 BUMN yang telah berada di bawah pengelolaan Danantara yaitu Pertamina PLN BRI BNI Bank https://t.co/sRMuboKPhg,1896166245256618482,https://pbs.twimg.com/media/GlCJJWjbgAA5lHG.jpg,,in,"Central Java, Indonesia",0,0,0,https://x.com/Pandugaid/status/1896166245256618482,1714317154039083009,Pandugaid
305,1896083080659812479,Sun Mar 02 11:37:54 +0000 2025,0,@MarahIchsan Pahami konteks dulu sebelum kritik danantara itu mengelola BUMN kemudian hadil deviden yang biasanya masuk APBN untuk belanja negara akan di reinvestasi lagi bukan uang tabungan masyarakat. Yang jadi masalah adalahmasalah pengelolaannya akan transparan nggak ?,1896163047993135486,,MarahIchsan,in,,0,2,0,https://x.com/wedusgan/status/1896163047993135486,1747783362654457856,wedusgan
306,1896158781345816767,Sun Mar 02 11:20:57 +0000 2025,0,Jakarta (ANTARA) - Menteri BUMN Erick Thohir mengharapkan kehadiran Badan Pengelola Investasi Daya Anagata Nusantara (Danantara) Indonesia dapat meningkatkan kualitas investasi. https://t.co/Ws3gIM9hsV,1896158781345816767,,,in,Jawa Timur,0,0,0,https://x.com/ANTARAJatim_/status/1896158781345816767,1557190679553769473,ANTARAJatim_
307,1896158261323423880,Sun Mar 02 11:18:53 +0000 2025,192,Kasus PAGAR LAUT Perlahan mulai REDUP kenapa ini kenapa trus BERHENTI atau diBUNGKAM Paksa ... ? Muncul &amp; Ramai berpindah Perhatian Rakyat pada. Modus Penipuan Baru BUMN DANANTARA &amp; BANK EMAS https://t.co/l6GXmQnvug,1896158261323423880,https://pbs.twimg.com/ext_tw_video_thumb/1896158216285007872/pu/img/E-pWT7aUWyX5SZYl.jpg,,in,,2,10,129,https://x.com/Boediantar4/status/1896158261323423880,1383750727575605257,Boediantar4
308,1896139040786887088,Sun Mar 02 11:16:46 +0000 2025,3,@SBYudhoyono Sumber dana Danantara dari pemotongan APBN dan penggabungan aset bank BUMN yg didalamnya menghimpun dana Masyarakat sangat berbahaya IHSSG merespond negatif. SWF idem Danantara didunia didirikan karena hasil keuntungan SDA dan surplus Neraca pembayaran. Salam sehat Pak SBY,1896157731138285572,,SBYudhoyono,in,,0,0,0,https://x.com/WendraR2/status/1896157731138285572,1089104907615973377,WendraR2
309,1896139040786887088,Sun Mar 02 11:16:11 +0000 2025,0,@SBYudhoyono Sebenarnya masalah nya sederhana pak SBY...dlm konsep GCG agar berjalan tdk terjadi konflik kepentingan maka regulator tdk boleh menjadi operator.Dan keberadaan Danantara itu tdk membawahi beberapa BUMN tapi berdiri diatas semua kepentingan dan konsepnya mencari laba dgn melihat,1896157581909131335,,SBYudhoyono,in,Indonesia,0,1,0,https://x.com/MAP08LGS/status/1896157581909131335,187742946,MAP08LGS
310,1896139040786887088,Sun Mar 02 11:12:44 +0000 2025,2,@SBYudhoyono @ComedyPrabowo Pak Danantara ini baik. Tapi kalau dewan penasihat nya finalis OOCRP &amp; erik tohir masih terlibat pesimis danantara ini akan dikelola dgn benar. Pak Sby tahu kan BUMN di bawah erik tohir banyak koruptornya?? Bapak tahu Telkom beli saham GOTO 6 4T milik boy tohir?,1896156714770268466,,SBYudhoyono,in,Bandung Indonesia,0,0,0,https://x.com/emarahima/status/1896156714770268466,232398466,emarahima
311,1896126516783911210,Sun Mar 02 11:09:02 +0000 2025,0,@Fahrihamzah Seharusnya tidak diperlukan lagi kementerian BUMN dengan adanya Danantara. Biar lebih effisien dan efektif.,1896155783748030495,,Fahrihamzah,in,,0,0,0,https://x.com/toramasaro/status/1896155783748030495,1294617489859436545,toramasaro
312,1896126516783911210,Sun Mar 02 11:08:26 +0000 2025,3,@Fahrihamzah Swf didunia berdiri dari dana hasil dari sumber daya alam atau surplus Neraca pemb(EkspVSImport) Sumber dana Danantara hasil pemotongan dana APBN dan penggabungan Bank2 BUMN yg dananya adalah dana masyarakat. Bahaya BOSS. Kecuali dananya HASIL Keuntungan SDA!,1896155631926776225,,Fahrihamzah,in,,0,0,0,https://x.com/WendraR2/status/1896155631926776225,1089104907615973377,WendraR2
